frame,move,temperature,cur_total,cur_hpwl,cur_overlap,cur_boundary,best_total,best_hpwl,best_overlap,best_boundary,accepted
0,0,100.000000,38445598.205832,898160.371302,3754743.783453,0.000000,38445598.205832,898160.371302,3754743.783453,0.000000,0
1,379,99.500000,7014199.680585,911116.720304,610308.296028,0.000000,7014199.680585,911116.720304,610308.296028,0.000000,106
2,758,98.507487,3228342.208099,906786.128240,232155.607986,0.000000,3228342.208099,906786.128240,232155.607986,0.000000,157
3,1137,97.524875,2384735.717490,897027.559575,148770.815792,0.000000,2384735.717490,897027.559575,148770.815792,0.000000,183
4,1516,96.552065,2095252.530329,897906.741921,119734.578841,0.000000,2095252.530329,897906.741921,119734.578841,0.000000,201
5,1895,95.588958,1954874.009197,894586.875918,106028.713328,0.000000,1954874.009197,894586.875918,106028.713328,0.000000,218
6,2274,94.635458,1711674.017192,882996.732388,82867.728480,0.000000,1711674.017192,882996.732388,82867.728480,0.000000,235
7,2653,93.691469,1697211.783241,876835.094304,82037.668894,0.000000,1697188.530952,876811.842015,82037.668894,0.000000,245
8,3032,92.756897,1567856.005703,875684.645035,69217.136067,0.000000,1567856.005703,875684.645035,69217.136067,0.000000,255
9,3411,91.831647,1410116.926406,873616.614583,53650.031182,0.000000,1410116.926406,873616.614583,53650.031182,0.000000,269
10,3790,91.372489,1320869.536317,862795.591099,45807.394522,0.000000,1320869.536317,862795.591099,45807.394522,0.000000,289
11,4169,90.461048,1293501.491702,863282.294044,43021.919766,0.000000,1293501.491702,863282.294044,43021.919766,0.000000,298
12,4548,89.558699,1212177.070097,862827.350694,34934.971940,0.000000,1212177.070097,862827.350694,34934.971940,0.000000,307
13,4927,88.665351,1210916.699999,861566.980597,34934.971940,0.000000,1210916.699999,861566.980597,34934.971940,0.000000,314
14,5306,87.780914,1132903.105823,859649.665805,27325.344002,0.000000,1132903.105823,859649.665805,27325.344002,0.000000,321
15,5685,86.905300,1035618.255139,857649.092468,17796.916267,0.000000,1035618.255139,857649.092468,17796.916267,0.000000,332
16,6064,86.038419,1031005.563381,855765.504556,17524.005883,0.000000,1030983.238922,855743.180096,17524.005883,0.000000,338
17,6443,85.180186,1026372.233896,851132.175071,17524.005883,0.000000,1026372.233896,851132.175071,17524.005883,0.000000,343
