frame,move,best_total
0,0,2377540.750000
1,379,21654.578125
2,758,17413.437500
3,1137,17329.878906
4,1516,16566.085938
5,1895,16225.477539
6,2274,16171.705078
7,2653,16109.041992
8,3032,15919.392578
9,3411,15622.811523
10,3790,15498.518555
11,4169,15498.518555
12,4548,15498.518555
13,4927,15498.518555
14,5306,15498.518555
15,5685,15498.518555
16,6064,15498.518555
17,6443,15498.518555
18,6822,15347.000977
19,7201,15347.000977
20,7580,15347.000977
21,7959,15347.000977
22,8338,15347.000977
23,8717,15347.000977
24,9096,15347.000977
25,9475,15347.000977
26,9854,15347.000977
27,10233,15347.000977
28,10612,15347.000977
29,10991,15347.000977
30,11370,15347.000977
31,11749,15347.000977
32,12128,15347.000977
33,12507,15318.236328
34,12886,15318.236328
35,13265,15240.780273
36,13644,15240.780273
37,14023,15240.780273
38,14402,15240.780273
39,14781,15240.780273
40,15160,15240.780273
41,15539,15240.780273
42,15918,15240.780273
43,16297,15240.780273
44,16676,15240.780273
45,17055,15240.780273
46,17434,15240.780273
47,17813,15240.780273
48,18192,15240.780273
49,18571,15240.780273
50,18950,15190.463867
51,19329,15190.463867
52,19708,15190.463867
53,20087,15190.463867
54,20466,15190.463867
55,20845,15190.463867
56,21224,15190.463867
57,21603,15190.463867
58,21982,15190.463867
59,22361,15190.463867
60,22740,15190.463867
61,23119,15190.463867
62,23498,15190.463867
63,23877,15190.463867
64,24256,15190.463867
65,24635,15190.463867
66,25014,15085.940430
67,25393,15085.940430
68,25772,15085.940430
69,26151,15085.940430
70,26530,15085.940430
71,26909,15085.940430
72,27288,15085.940430
73,27667,15085.940430
74,28046,15085.940430
75,28425,15085.940430
76,28804,15085.940430
77,29183,15085.940430
78,29562,15085.940430
79,29941,15085.940430
